"burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
3.714285714,3.666666667,2.75,3.743650794,45,NA,2.35,"resilience","permanent","not stressful","not satisfied","0","1"
5,4.833333333,2.625,4.502777778,40,38,1.65,"no resilience","permanent","stressful","not satisfied","0","1"
6.142857143,4.5,2.875,4.889285714,50,49,2.5,"no resilience","permanent","stressful","not satisfied","0","1"
3.857142857,2.666666667,2.875,3.516269841,45,28,3.6,"resilience","permanent","stressful","not satisfied","0","1"
5.142857143,4.666666667,1.625,4.028174603,40,31,4.15,"resilience","permanent","stressful","not satisfied","0","1"
4,2.5,1.5,2.866666667,42,36,3.8,"resilience","permanent","stressful","not satisfied","0","1"
6.142857143,5.5,3.125,5.339285714,40,38,1.7,"resilience","permanent","stressful","not satisfied","0","1"
2.285714286,3.333333333,2.625,3.098015873,40,38,2.5,"resilience","permanent","stressful","not satisfied","0","1"
4.285714286,1.166666667,2.25,2.867460317,30,41,2.55,"resilience","permanent","stressful","not satisfied","0","1"
4,2.5,1.625,2.925,50,41,2.75,"resilience","permanent","stressful","not satisfied","0","1"
2.285714286,1.5,1.125,1.786904762,36,46,3.6,"resilience","permanent","stressful","not satisfied","0","1"
2.142857143,1.166666667,1.375,1.74484127,50,48,3.9,"resilience","permanent","stressful","not satisfied","0","1"
4.857142857,2.5,2.125,3.444047619,60,48,2.7,"resilience","permanent","stressful","not satisfied","0","1"
4.142857143,3.166666667,1.375,3.078174603,40,50,3.45,"resilience","permanent","stressful","not satisfied","0","1"
5.714285714,4.5,2,4.338095238,50,53,2.3,"resilience","permanent","stressful","not satisfied","0","1"
5,2.833333333,1.875,3.486111111,55,56,3.5,"resilience","permanent","stressful","not satisfied","0","1"
NA,NA,NA,NA,47,56,3.05,"resilience","permanent","stressful","not satisfied","0","1"
5.428571429,3.666666667,1.625,3.790079365,60,57,2.55,"resilience","permanent","stressful","not satisfied","0","1"
2.571428571,1,1,1.657142857,50,57,3.25,"resilience","permanent","stressful","not satisfied","0","1"
5.285714286,5.666666667,4.375,5.692460317,65,60,1,"resilience","permanent","stressful","not satisfied","0","1"
3.142857143,3.166666667,2.875,3.44484127,50,61,2.5,"resilience","permanent","stressful","not satisfied","0","1"
4.857142857,3.833333333,1.75,3.713492063,45,61,1.5,"resilience","permanent","stressful","not satisfied","0","1"
3.857142857,4,2.25,3.669047619,40,35,2.85,"resilience","short-term contract","stressful","not satisfied","0","1"
NA,3.666666667,1.125,NA,50,48,3.1,"resilience","short-term contract","stressful","not satisfied","0","1"
2,1.5,1.75,1.983333333,50,46,3.9,"resilience","permanent","not stressful","satisfied","0","1"
1.285714286,1.166666667,1.25,1.400793651,40,56,4,"resilience","permanent","not stressful","satisfied","0","1"
4.571428571,3.5,2.5,3.857142857,32,41,3.5,"resilience","permanent","stressful","satisfied","0","1"
5.285714286,3.333333333,1.875,3.748015873,43,44,4.2,"resilience","permanent","stressful","satisfied","0","1"
5.142857143,4.666666667,2.875,4.611507937,50,46,3.2,"resilience","permanent","stressful","satisfied","0","1"
3.142857143,2.333333333,1.25,2.408730159,45,48,3.6,"resilience","permanent","stressful","satisfied","0","1"
3.714285714,1.5,1.5,2.438095238,26,55,3.4,"resilience","permanent","stressful","satisfied","0","1"
1.714285714,1,1.875,1.779761905,55,57,3.85,"resilience","permanent","stressful","satisfied","0","1"
NA,NA,NA,NA,50,58,2.85,"resilience","permanent","stressful","satisfied","0","1"
4.142857143,2.166666667,2.5,3.26984127,65,53,3.35,"resilience","permanent","stressful","satisfied","0","1"
2.714285714,2.333333333,1.75,2.499206349,40,55,3.75,"resilience","permanent","stressful","satisfied","0","1"
NA,NA,NA,NA,24,58,NA,"resilience","short-term contract","stressful","satisfied","0","1"
2,2.166666667,NA,NA,40,64,3.55,"resilience","permanent","not stressful","not satisfied","1","1"
4.571428571,3.5,2.25,3.74047619,55,44,3.7,"resilience","permanent","stressful","not satisfied","1","1"
NA,NA,NA,NA,37,47,3.9,"resilience","permanent","not stressful","satisfied","1","1"
3.571428571,2.166666667,2,2.846031746,40,47,3.4,"resilience","permanent","stressful","satisfied","1","1"
2,1.166666667,1.375,1.697222222,40,32,3.85,"resilience","permanent","stressful","not satisfied","1","0"
1.857142857,1.666666667,1.25,1.757936508,45,54,4.65,"resilience","permanent","stressful","satisfied","1","0"
3.285714286,2.5,1.375,2.570238095,48,51,3.65,"resilience","short-term contract","stressful","satisfied","1","0"
4.857142857,3,2.125,3.610714286,55,55,3.7,"no resilience","short-term contract","stressful",NA,"1","1"
